Status,# Full,# Short,Scoring (original),Scoring (digital),Dimension,Original item,Focus,Current item for digital self-control,Alternate version,Previous versions,Notes,TODO,Assigned to
ok,-2,,,,,NA,,"general version:

Which of the following digital devices do you use?

(checkbox options: smartphone, tablet, laptop computer, desktop computer, smartwatch, gaming console, internet-connected TV)","workshop version:

Which of the following digital devices do you use?

(checkbox options: smartphone, tablet, laptop computer, desktop computer)

",v1 Which digital devices do you use regularly?,"UL: what's the criteria for deciding the devices that should be included?

UL: dropped 'regularly' from v1 as per MI's concern that we ask just about the ones they spend most time on. This question should go hand-in-hand with the time question below, so we still get that information.",,
ok,-1,,,,,"NA
(adapted from https://dl.acm.org/doi/fullHtml/10.1145/3313831.3376435 )",,"In the past week, on average, approximately how much time PER DAY have you spent actively using your INSERT DEVICE?",,,UL: this question should be asked for each digital device they check,,
ok,0,,,,,"Below are a number of statements that describe ways in which people act and think. For each statement, please indicate how much you agree or disagree with the statement. If you Agree Strongly circle 1, if you Agree Somewhat circle 2, if you Disagree somewhat circle 3, and if you Disagree Strongly circle 4. Be sure to indicate your agreement or disagreement for every statement below.",,"version w/ dynamic text based on previous answers:

Below are a number of statements that describe ways in which people act and think in relation to their digital devices.

Please indicate how much you agree or disagree with each statement in relation to your (INSERT DEVICES THE PARTICIPANT CHECKED).","version w/ static text:

Below are a number of statements that describe ways in which people act and think in relation to their digital devices.

Please indicate how much you agree or disagree with each statement in relation to the digital devices you use.",,"UL: Plan A is to use the current item when it's possible to adjust the question dynamically (I can do this using formr) 
MI: I like the alternate actually, as I think the Qs shoudl pertain to all devices not just the one they most use
KL: I prefer the current item when you can generate dynamically based on the devices they use, but the alternate is simpler to implement and works too. 

KL: One side question: are we intentionally excluding other digital devices, i.e., gaming consoles, smart speakers, VR headsets, internet-connected TVs, etc.? These are clearly digital devices, so we should have some rationale for including/excluding, which might just be that our workshop interventions aren't targeted towards those devices?",,
ok,1,,O,O,premeditation,I have a reserved and cautious attitude toward life.,mixed,I have a reserved and cautious attitude towards using digital devices,,v1 I use my digital devices in a reserved and cautious way,"v1
MI: I like the alternate",,
ok,2,,R,R,negative urgency,I have trouble controlling my impulses,during use,I have trouble controlling my impulses when using digital devices,,v1 I have trouble controlling my impulses to go on my digital devices,"UL: changed to 'when using' instead of v1's 'go on', because three other items are already focused on impulsive checking (full: #7, #39, #53)",,
ok,3,,R,R,sensation seeking,I generally seek new and exciting experiences and sensations.,during use,I generally seek new and exciting experiences and sensations online,,,"UL: closest I think is the ""Problematic and Risky Internet Use Screening Scale (PRIUSS) for adolescents and young adults"": https://www.sciencedirect.com/science/article/abs/pii/S0747563214000478 
https://www.sciencedirect.com/science/article/pii/S1876285915002223 

Items on their factor 3, ""Risky and Impulsive Internet Use"":
Allow time on the internet to negatively affect your school performance
Lose motivation to do other things that need to get done 
Neglect responsibilities
Avoid other activities in order to stay online
Put internet use in front of important, everyday activities
Lose sleep due to nighttime internet use
Use the internet excessively

In general, the things researchers talk about in relation to risky behaviour online are ""[exposure] to a variety of sexual and violent material, financial scams, cyber bullying, harassment, and the risk of meeting dangerous people or even sexual predators"" https://journals.lww.com/cinjournal/fulltext/2011/06000/Risky_Internet_Behaviors_of_Middle_School.6.aspx 

Kai: Two quick thoughts here re: adapting these SS items for digital self-control:
1) It seems that these items come from another scale (the Zuckerman SSS-V) that itself has subscales: https://scienceofbehaviorchange.org/measures/zuckerman-sensation-seeking-scale-v/ We might want to try to make our adapted items also capture items that fit with those corresponding subscales.
2) Maybe there's already a scale of ""sensation-seeking online"" or ""risky behaviors online"" that we can borrow/adapt from? ",,
ok,4,1,O,R,perseverance,I generally like to see things through to the end.,mixed,My digital devices generally prevent me from seeing things through to the end,,v1 My digital devices generally do not prevent me from seeing things through to the end,UL: modified from v1 to avoid double negative MI: works for me,,
ok,5,,R,R,positive urgency,"When I am very happy, I can’t seem to stop myself from doing things that can have bad consequences.",mixed,"When I am very happy, I can't seem to stop myself from using my digital devices in a way that can have bad consequences",,,,,
ok,6,2,O,O,premeditation,My thinking is usually careful and purposeful.,mixed,My digital device use is usually careful and purposeful,,,,,
ok,7,,R,R,negative urgency,"I have trouble resisting my cravings (for food, cigarettes, etc.).",initiate use,"I have trouble resisting guilty pleasures on my digital devices (social media, Netflix, etc.)",,v1 I have trouble resisting my desires to check my digital devices,,,
